CUSTOMERID,GENDER,ELDERLY,MARRIED,DEPENDENTS,CLIENT_HOUR,PHONESERVICE,SERVICO_INTERNET,SERVICO_SEGURANCA,TECNICAL_SUPORT,STREAMINGTV,CONTRACT_TYPE,PAYMENTMETHOD,PAYMENT_MONTH,FULL_PAYMENT,CHURN
7590-VHVEG,FEMALE,0,Yes,No,1,No,DSL,No,No,No,Month-to-month,Electronic check,29.85,29.85,No
5575-GNVDE,MALE,0,No,No,34,Yes,DSL,Yes,No,No,One year,Mailed check,56.95,1889.5,No
3668-QPYBK,MALE,0,No,No,2,Yes,DSL,Yes,No,No,Month-to-month,Mailed check,53.85,108.15,Yes
7795-CFOCW,MALE,0,No,No,45,No,DSL,Yes,Yes,No,One year,Bank transfer (automatic),65.60756321839081,1840.75,No
8191-XWSZG,FEMALE,0,No,No,52,Yes,No,No internet service,No internet service,No internet service,One year,Mailed check,65.60756321839081,1022.95,No
9959-WOFKT,MALE,0,No,Yes,71,Yes,Fiber optic,Yes,No,Yes,Two year,Bank transfer (automatic),65.60756321839081,7382.25,No
4190-MFLUW,FEMALE,0,Yes,Yes,10,Yes,DSL,No,Yes,No,Month-to-month,Credit card (automatic),65.60756321839081,528.35,Yes
4183-MYFRB,FEMALE,0,No,No,21,Yes,Fiber optic,No,No,No,Month-to-month,Electronic check,65.60756321839081,1862.9,No
8779-QRDMV,MALE,1,No,No,1,No,DSL,No,No,No,Month-to-month,Electronic check,65.60756321839081,39.65,Yes
1680-VDCWW,MALE,0,Yes,No,12,Yes,No,No internet service,No internet service,No internet service,One year,Bank transfer (automatic),65.60756321839081,202.25,No
1066-JKSGK,MALE,0,No,No,1,Yes,No,No internet service,No internet service,No internet service,Month-to-month,Mailed check,65.60756321839081,20.15,Yes
3638-WEABW,FEMALE,0,Yes,No,58,Yes,dsl,No,Yes,No,Two year,Credit card (automatic),65.60756321839081,3505.1,No
6322-HRPFA,MALE,0,Yes,Yes,49,Yes,dsl,Yes,Yes,No,Month-to-month,Credit card (automatic),65.60756321839081,2970.3,No
6865-JZNKO,FEMALE,0,No,No,30,Yes,dsl,Yes,No,No,Month-to-month,Bank transfer (automatic),65.60756321839081,1530.6,No
6467-CHFZW,MALE,0,Yes,Yes,47,Yes,Fiber optic,No,No,Yes,Month-to-month,Electronic check,65.60756321839081,4749.15,Yes
8665-UTDHZ,MALE,0,Yes,Yes,1,No,DSL,No,No,No,Month-to-month,Electronic check,65.60756321839081,30.2,Yes
5248-YGIJN,MALE,0,Yes,No,72,Yes,DSL,Yes,Yes,Yes,Two year,Credit card (automatic),65.60756321839081,6369.45,No
8773-HHUOZ,FEMALE,0,No,Yes,17,Yes,DSL,No,No,Yes,Month-to-month,Mailed check,65.60756321839081,1093.1,Yes
3841-NFECX,FEMALE,1,Yes,No,71,Yes,Fiber optic,Yes,Yes,No,Two year,Credit card (automatic),65.60756321839081,6766.95,No
4929-XIHVW,MALE,1,Yes,No,2,Yes,Fiber optic,No,No,Yes,Month-to-month,Credit card (automatic),65.60756321839081,181.65,No
6827-IEAUQ,FEMALE,0,Yes,Yes,27,Yes,DSL,Yes,Yes,No,One year,Mailed check,65.60756321839081,1874.45,No
7310-EGVHZ,MALE,0,No,No,1,Yes,No,No internet service,No internet service,No internet service,Month-to-month,Bank transfer (automatic),65.60756321839081,20.2,No
3413-BMNZE,MALE,1,No,No,1,Yes,DSL,No,No,No,Month-to-month,Bank transfer (automatic),65.60756321839081,45.25,No
6234-RAAPL,FEMALE,0,Yes,Yes,72,Yes,Fiber optic,Yes,Yes,Yes,Two year,Bank transfer (automatic),65.60756321839081,7251.7,No
6047-YHPVI,MALE,0,No,No,5,Yes,Fiber optic,No,No,No,Month-to-month,Electronic check,65.60756321839081,316.9,Yes
6572-ADKRS,FEMALE,0,No,No,46,Yes,Fiber optic,No,No,No,Month-to-month,Credit card (automatic),65.60756321839081,3548.3,No
5380-WJKOV,MALE,0,No,No,34,Yes,Fiber optic,No,No,Yes,Month-to-month,Electronic check,65.60756321839081,3549.25,Yes
